les Escaldes	42.5072869554153	1.53413772583008
Andorra la Vella	42.5051514333831	1.51506185531616
Umm al Qaywayn	25.5652778	55.5533333
Ra's al Khaymah	25.7911111	55.9427778
Khawr Fakkān	25.3391667	56.3561111
Dubai	25.2522222	55.28
Dibā	25.6166667	56.2666667
Sharjah	25.3622222	55.3911111
Al Fujayrah	25.1230556	56.3375
Al `Ayn	24.1916667	55.7605556
`Ajmān	25.41110530265	55.435037612915
Abu Dhabi	24.4666667	54.3666667
Taloqan	36.736051108206	69.5345091819763
Šīndand	33.3	62.14
Sheberghān	36.6672222	65.7536111
Shāhrag	34.1083333	64.3033333
Sar-e Pol	36.2155556	65.9363889
Sang-e Chārak	35.8497222	66.4369444
Samangān	36.2652778	68.0166667
Rostāq	37.1275	69.8305556
Qarqīn	37.4127778	66.0472222
Qarāvol	37.2211111	68.78
Pol-e Khomrī	35.9425	68.7191667
Paghmān	34.5875	68.9533333
Nahrīn	36.0652778	69.1338889
Mehtar Lām	34.6713889	70.2094444
Mazār-e Sharīf	36.7069444	67.1122222
Nawab City	31.58	64.36
Kūshk	33.2961111	61.9527778
Kondūz	36.72	68.86
Khōst	33.3380556	69.9202778
Tāshqorghān	36.6952778	67.6980556
Khāsh	31.5291667	62.7925
Khanabad	36.68	69.11
Karokh	34.4791667	62.5869444
Kandahar	31.61	65.7
Kabul	34.5166667	69.1833333
Jalalabad	34.42	70.45
Jabal os Saraj	35.118333	69.237778
Herat	34.34	62.19
Ghazni	33.5535554007418	68.4268856048584
Gereshk	31.8188889	64.5647222
Gardez	33.59	69.22
Feyẕābād	37.1175	70.5797222
Farakh	32.37	62.11
Eslām Qal`eh	34.6666667	61.0666667
Charikar	35.013611	69.171389
Barakī Barak	33.9675	68.9486111
Balkh	36.7586111	66.8961111
Baghlan	36.12	68.7
Āt Khvājeh	37.0841667	69.4805556
Asmar	35.03	71.35
Andkhvoy	36.9525	65.1236111
Āchīn	34.12	70.7
Cool űrhajó	34.2654451599764	67.3451614379883
Saint John's	17.1166667	-61.85
The Valley	18.2166667	-63.05
Sarandë	39.8755556	20.0052778
Kukës	42.0769444	20.4219444
Korçë	40.6186111	20.7808333
Gjirokastër	40.0758333	20.1388889
Elbasan	41.1125	20.0822222
Burrel	41.6102778	20.0088889
Vlorë	40.4666667	19.4897222
Tirana	41.3275	19.8188889
Shkodër	42.0682828884085	19.5125770568848
Patos Fshat	40.6427778	19.6508333
Lushnjë	40.9419444	19.705
Lezhë	41.7836111	19.6436111
Laç	41.6355556	19.7130556
Kuçovë	40.8002778	19.9166667
Krujë	41.5091667	19.7927778
Kavajë	41.1855556	19.5569444
Fier-Çifçi	40.7166667	19.5666667
Durrës	41.3230556	19.4413889
Berat	40.7058333	19.9522222
Kapan	39.2011111	46.415
Goris	39.5077778	46.3386111
Hats'avan	39.4627778	45.9730556
Artashat	39.9538889	44.5505556
Ararat	39.8302778	44.7025
Yerevan	40.1811111	44.5136111
Ejmiatsin	40.1727778	44.2925
Spitak	40.8372222	44.2675
Sevan	40.555	44.9536111
Masis	40.0672222	44.4361111
Vanadzor	40.8127778	44.4883333
Gavarr	40.3588889	45.1266667
Hrazdan	40.5016667	44.7547222
Armavir	40.1522222	44.0308333
Gyumri	40.7894444	43.8475
Ashtarak	40.3016667	44.3591667
Abovyan	40.2691667	44.6244444
Willemstad	12.1	-68.9166667
Saurimo	-9.65	20.4
Lucapa	-8.4166667	20.75
Luau	-10.7	22.2333333
Uíge	-7.6166667	15.05
Soyo	-6.1333333	12.3666667
N'zeto	-7.2333333	12.8666667
M'banza Congo	-6.2666667	14.25
Malanje	-9.5447222	16.3452778
Luanda	-8.8383333	13.2344444
Caxito	-8.58	13.6641667
Cabinda	-5.55	12.2
Sumbe	-11.2	13.8333333
Namibe	-15.1961111	12.1522222
Luena	-11.7833333	19.9166667
Lubango	-14.9166667	13.5
Longonjo	-12.9066667	15.2533333
Lobito	-12.3480556	13.5455556
Kuito	-12.3833333	16.9333333
Huambo	-12.7761111	15.7391667
Catumbela	-12.4313889	13.5472222
Catabola	-12.15	17.2833333
Camacupa	-12.0166667	17.4833333
Caluquembe	-13.7833333	14.6833333
Caála	-12.8525	15.5605556
Benguela	-12.5783333	13.4072222
Zárate	-34.0922222	-59.035
Tandil	-37.3166667	-59.15
San Lorenzo	-28.1333333	-58.7666667
Resistencia	-27.45	-58.9833333
Reconquista	-29.15	-59.65
Quilmes	-34.7202778	-58.2694444
Puerto Iguazú	-25.5991156963377	-54.5735549926758
Posadas	-27.3833333	-55.8833333
Oberá	-27.4833333	-55.1333333
Necochea	-38.55	-58.75
Mercedes	-34.6544444	-59.4344444
Mercedes	-29.2	-58.0833333
Mar del Plata	-38.0	-57.55
Luján	-34.5702778	-59.105
La Plata	-34.9313889	-57.9488889
Gualeguaychú	-33.0102778	-58.5141667
Gualeguay	-33.1444444	-59.3291667
Goya	-29.1333333	-59.2666667
Formosa	-26.1833333	-58.1833333
Dolores	-36.3333333	-57.6666667
Corrientes	-27.4666667	-58.8333333
Concordia	-31.4	-58.0333333
Concepción del Uruguay	-32.4833333	-58.2283333
Colegiales	-34.5833333	-58.45
Campana	-34.1769444	-58.9208333
Buenos Aires	-34.5761256318848	-58.4088134765625
Azul	-36.7833333	-59.85
Villa María	-32.4166667	-63.25
